estado,gentotal,hombres,mujeres,region
Aguascalientes,1184996,576638,608358,Occidente
Baja California,3155070,1591610,1563460,Norte
Baja California Sur,637026,325433,311593,Norte
Campeche,822441,407721,414720,Sureste
Coahuila,2748391,1364197,1384194,Norte
Colima,650555,322790,327765,Occidente
Chiapas,4796580,2352807,2443773,Sureste
Chihuahua,3406465,1692545,1713920,Norte
Ciudad de Mexico,8851080,4233783,4617297,Centro
Durango,1632934,803890,829044,Norte
Guanajuato,5486372,2639425,2846947,Occidente
Guerrero,3388768,1645561,1743207,Centro
Hidalgo,2665018,1285222,1379796,Centro
Jalisco,7350682,3600641,3750041,Occidente
Estado de Mexico,15175862,7396986,7778876,Centro
Michoacan,4351037,2102109,2248928,Occidente
Morelos,1777227,858588,918639,Centro
Nayarit,1084979,541007,543972,Occidente
Nuevo Leon,4653458,2320185,2333273,Norte
Oaxaca,3801962,1819008,1982954,Centro
Puebla,5779829,2769855,3009974,Centro
Queretaro,1827937,887188,940749,Occidente
Quintana Roo,1325578,673220,652358,Sureste
San Luis Potosi,2585518,1260366,1325152,Occidente
Sinaloa,2767761,1376201,1391560,Norte
Sonora,2662480,1339612,1322868,Norte
Tabasco,2238603,1100758,1137845,Sureste
Tamaulipas,3268554,1616201,1652353,Norte
Tlaxcala,1169936,565775,604161,Centro
Veracruz,7643194,3695679,3947515,Sureste
Yucatan,1955577,963333,992244,Sureste
Zacatecas,1490668,726897,763771,Occidente
